article,general_summary,requirement
50,"General Summary:
This article focuses on the importance of international cooperation in enforcing legislation for the protection of personal data. It highlights the need for mechanisms to facilitate cooperation, mutual assistance in enforcement, engagement with stakeholders, and exchange of information on data protection laws and practices.","- Develop international cooperation mechanisms for enforcing data protection laws.
- Provide mutual assistance in enforcement through various means like notification, complaint referral, and information exchange.
- Ensure appropriate safeguards for protecting personal data and fundamental rights.
- Engage stakeholders in discussions to enhance international cooperation.
- Promote exchange and documentation of data protection laws and practices, especially in cases of jurisdictional conflicts with third countries."
51,"General Summary:
This article outlines the requirement for each Member State to establish one or more independent public authorities, known as supervisory authorities, to monitor the application of the GDPR. These authorities are responsible for ensuring the protection of individuals' rights in relation to data processing and promoting the free flow of personal data within the EU. The supervisory authorities must work together to ensure consistent application of the GDPR across the Union.","1. Each Member State must establish one or more independent supervisory authorities to monitor GDPR compliance.
2. Supervisory authorities must cooperate with each other and the Commission to ensure consistent application of the GDPR.
3. Member States with multiple supervisory authorities must designate one authority to represent them in the Board and establish mechanisms for ensuring compliance with consistency rules.
4. Member States must notify the Commission of the laws adopted in accordance with this chapter by 25 May 2018 and promptly inform of any subsequent amendments."
52,This article outlines the requirements for supervisory authorities to act independently and without external influence in performing their tasks related to GDPR compliance.,"1. Supervisory authorities must act independently and free from external influence.
2. Members of supervisory authorities must refrain from any actions incompatible with their duties and not engage in any incompatible occupation during their term of office.
3. Member States must provide supervisory authorities with necessary resources for effective performance of tasks, including human, technical, and financial resources.
4. Supervisory authorities must have their own staff under their exclusive direction.
5. Supervisory authorities must have separate, public annual budgets that are not affected by financial control that could compromise their independence."
53,"General Summary:
This article outlines the requirements for the appointment and qualifications of members of supervisory authorities within Member States under the GDPR. It emphasizes the need for a transparent appointment process and specifies the qualifications, experience, and skills required for such members.","1. Members of supervisory authorities must be appointed through a transparent procedure by the parliament, government, head of State, or an independent body as per Member State law.
2. Each member must possess the necessary qualifications, experience, and skills, particularly in the field of personal data protection, to effectively carry out their duties and exercise their powers.
3. The duties of a member will cease upon the expiry of their term, resignation, or compulsory retirement in accordance with the relevant Member State laws.
4. Dismissal of a member is only permitted in cases of serious misconduct or if the member no longer meets the required conditions for performing their duties."
54,"General Summary:
This article outlines the requirements for each Member State to establish a supervisory authority for GDPR compliance. It specifies the qualifications and appointment procedures for members of these authorities, as well as the duration of their terms and conditions for reappointment. It also addresses the obligations, prohibitions, and rules for cessation of employment for members and staff of these supervisory authorities.","- Each Member State must establish a supervisory authority for GDPR compliance.
- Define qualifications and eligibility conditions for members of the supervisory authority.
- Establish rules and procedures for the appointment of members.
- Ensure a term of office for members of at least four years, with exceptions for staggered appointments.
- Determine reappointment eligibility for members.
- Define conditions, prohibitions, and rules for members and staff obligations, actions, occupations, and benefits during and after their term of office.
- Enforce a duty of professional secrecy for members and staff, both during and after their term of office, regarding confidential information related to GDPR tasks and powers."
55,"General Summary:
This article outlines the competence of supervisory authorities under the GDPR, specifying that each authority is responsible for tasks and powers within its own Member State. It also clarifies that supervisory authorities do not have jurisdiction over processing operations conducted by courts in their judicial capacity.","- Each supervisory authority must perform tasks and exercise powers within its own Member State.
- When processing is carried out by public authorities or private bodies based on specific points in Article 6(1), the supervisory authority of the relevant Member State is competent.
- Article 56 does not apply in cases where processing falls under the specified points in Article 6(1).
- Supervisory authorities do not have jurisdiction over processing operations of courts acting in their judicial capacity."
56,This article outlines the procedures for determining the lead supervisory authority for cross-border data processing activities under the GDPR. It specifies the roles and responsibilities of supervisory authorities in handling complaints and infringements related to data processing within their jurisdiction.,"- The supervisory authority of the main or single establishment of the controller or processor should act as the lead supervisory authority for cross-border processing.
- Each supervisory authority is competent to handle complaints or infringements related to establishments within its Member State or affecting data subjects primarily in its Member State.
- The lead supervisory authority must be informed promptly in relevant cases, and a decision should be made within three weeks on whether to handle the case.
- If the lead supervisory authority decides not to handle the case, the informing supervisory authority should proceed with handling it according to specified procedures.
- The lead supervisory authority serves as the main point of contact for the controller or processor regarding cross-border data processing activities."
57,"General Summary:
The article outlines the various tasks and responsibilities of supervisory authorities under the GDPR. These authorities are required to monitor and enforce the application of the Regulation, promote public awareness, advise on legislative measures, handle complaints, cooperate with other authorities, conduct investigations, and fulfill other tasks related to the protection of personal data.","Based on this article, specific compliance requirements include:
- Monitoring and enforcing the application of the GDPR
- Promoting public awareness and understanding of data processing risks and rights
- Advising on legislative measures related to data protection
- Providing information to data subjects about their rights
- Handling complaints and conducting investigations
- Cooperating with other supervisory authorities
- Adopting standard contractual clauses
- Maintaining a list for data protection impact assessments
- Encouraging codes of conduct and certification mechanisms
- Approving binding corporate rules
- Contributing to the activities of the Board
- Keeping internal records of infringements and measures taken
- Facilitating complaint submissions
- Providing services free of charge to data subjects and data protection officers
- Charging reasonable fees for unfounded or excessive requests, with justification."
58,"This article outlines the investigative, corrective, and authorization/advisory powers of supervisory authorities under GDPR. It details the authority's abilities to investigate, audit, review certifications, notify infringements, access data, issue warnings, reprimands, and corrective orders, impose fines, and more. The article also specifies the authorization and advisory powers of supervisory authorities, including advising controllers, issuing opinions, authorizing processing, accrediting certification bodies, and approving codes of conduct and certifications.","- Supervisory authorities must have investigative powers to order information provision, conduct audits, review certifications, notify infringements, and access data.
- Supervisory authorities must have corrective powers to issue warnings, reprimands, compliance orders, breach communications, processing limitations, rectifications, erasures, fines, and more.
- Supervisory authorities must have authorization and advisory powers to advise controllers, issue opinions, authorize processing, accredit certification bodies, approve codes of conduct and certifications, adopt data protection clauses, and approve binding corporate rules.
- The exercise of these powers must adhere to appropriate safeguards, judicial remedies, and due process as outlined in Union and Member State law.
- Member States must empower supervisory authorities to bring GDPR infringements to judicial attention and enforce"
59,"General Summary:
This article outlines the requirement for each supervisory authority to prepare an annual report on their activities related to GDPR compliance. The report may include information on types of infringements reported and measures taken. These reports are to be shared with national parliament, government, designated authorities, the public, the European Commission, and the European Data Protection Board.","1. Supervisory authorities must prepare an annual report on their activities.
2. The report may include details on types of infringements reported and measures taken.
3. Reports must be shared with national parliament, government, designated authorities, the public, the European Commission, and the European Data Protection Board."
60,"This article outlines the cooperation and decision-making process among lead supervisory authorities and other supervisory authorities in the context of GDPR compliance. It emphasizes the exchange of information, consultation on draft decisions, and mechanisms for resolving disagreements.","1. Lead supervisory authority must cooperate with other supervisory authorities to reach consensus.
2. Exchange of all relevant information between lead supervisory authority and other supervisory authorities.
3. Lead supervisory authority may request mutual assistance and conduct joint operations for investigations or monitoring.
4. Communication of relevant information and draft decisions to other supervisory authorities for their opinion.
5. Resolution process if other supervisory authorities express objections to draft decisions.
6. Adoption and notification of decisions to the controller/processor and informing relevant parties.
7. Controllers/processors must comply with decisions and notify lead supervisory authority of measures taken.
8. Urgency procedure applies in exceptional circumstances.
9. Information exchange between supervisory authorities must be done electronically using a standardized format."
61,"This article outlines the requirement for supervisory authorities to provide each other with mutual assistance and relevant information to ensure consistent implementation of the GDPR. It specifies the procedures for cooperation, information exchange, and responding to requests from other supervisory authorities.","1. Supervisory authorities must cooperate with each other by providing relevant information and mutual assistance to implement the GDPR consistently.
2. Requests for assistance must be responded to within one month, and the information exchanged should only be used for the specified purpose.
3. The requested supervisory authority can refuse to comply only if it lacks competence or if compliance would violate GDPR or relevant laws.
4. Information must be exchanged electronically in a standardized format, and no fees should be charged for mutual assistance actions.
5. If a supervisory authority fails to respond within one month, the requesting authority can take provisional measures.
6. The Commission may specify the format and procedures for mutual assistance through implementing acts."
62,"This article outlines the provisions for supervisory authorities to conduct joint operations, investigations, and enforcement measures involving multiple Member States. It specifies the rights and responsibilities of supervisory authorities in joint operations and the liability for damages caused by staff operating in another Member State.","1. Supervisory authorities must invite other relevant authorities to participate in joint operations when necessary.
2. Investigative powers may be conferred on staff from another supervisory authority with authorization and under the guidance of the host supervisory authority.
3. The host supervisory authority assumes responsibility for the actions and liability of staff operating in its territory from another supervisory authority.
4. Member States are responsible for reimbursing any damage caused by staff from another supervisory authority in their territory.
5. Member States should refrain from requesting reimbursement from each other for damages caused in another Member State.
6. If a supervisory authority fails to comply with obligations in a joint operation, other authorities may adopt provisional measures in their territory."
63,"General Summary:
This article emphasizes the importance of cooperation among supervisory authorities to ensure consistent application of the GDPR across the European Union.","- Supervisory authorities must cooperate with each other and, where relevant, with the Commission through the consistency mechanism outlined in this section."
64,"This article outlines the process by which a competent supervisory authority must seek an opinion from the Board in various situations related to GDPR compliance, such as data protection impact assessments, code of conduct compliance, accreditation of bodies, certification criteria, standard data protection clauses, contractual clauses, and binding corporate rules. The Board must issue an opinion within a specified timeframe and the supervisory authority must consider this opinion in its decision-making process.","- The competent supervisory authority must seek an opinion from the Board in specific situations outlined in the article.
- The Board must issue an opinion within a specified timeframe.
- The supervisory authority must consider the Board's opinion and communicate its decision within two weeks.
- If the supervisory authority does not intend to follow the Board's opinion, it must provide relevant grounds for its decision."
65,"This article outlines the process for the European Data Protection Board to adopt binding decisions in specific cases where there are disagreements or conflicts among supervisory authorities regarding the application of the GDPR. The Board must make decisions within set timeframes and notify all relevant parties, with the final decision being published on the Board's website.","- The Board must adopt a binding decision within one month (extendable by another month for complex cases) by a two-thirds majority.
- If a decision cannot be reached within the specified time, a decision must be made within two weeks by a simple majority or the Chair's vote.
- Supervisory authorities involved must not make a decision on the matter during the specified periods.
- The lead supervisory authority must adopt its final decision promptly based on the Board's decision and inform the Board of the date of notification to the controller, processor, and data subject.
- The final decision must reference the Board's decision and state that it will be published on the Board's website."
66,"General Summary:
This article outlines the provisions for supervisory authorities to take urgent actions to protect the rights and freedoms of data subjects in exceptional circumstances. It allows for the adoption of provisional measures with a limited validity period and the possibility to request urgent opinions or binding decisions from the Board.","- Supervisory authorities must communicate any provisional measures adopted and the reasons for them to other relevant authorities, the Board, and the Commission without delay.
- If final measures are deemed necessary, a supervisory authority can request an urgent opinion or binding decision from the Board, providing reasons for the request.
- Any supervisory authority can request an urgent opinion or binding decision from the Board if another competent authority has not taken appropriate action in a situation requiring urgent protection of data subjects' rights and freedoms.
- Urgent opinions or binding decisions from the Board must be adopted within two weeks by a simple majority of Board members, deviating from the usual timeframes specified in other articles."
67,"General Summary:
This article discusses the Commission's ability to adopt implementing acts to specify arrangements for exchanging information electronically between supervisory authorities and the Board, including standardised formats.",Compliance requirement includes adhering to the specified arrangements for electronic information exchange as outlined in the implementing acts adopted by the Commission.
68,"General Summary:
This article establishes the European Data Protection Board as a body of the Union with legal personality. It outlines the composition of the Board, which includes the head of one supervisory authority from each Member State and the European Data Protection Supervisor. The Commission has the right to participate in Board activities without voting rights.","- The Board must be composed of the head of one supervisory authority from each Member State and the European Data Protection Supervisor.
- The Commission has the right to participate in Board activities without voting rights.
- The Chair of the Board must communicate the activities of the Board to the Commission.
- The European Data Protection Supervisor has voting rights on decisions concerning principles and rules applicable to Union institutions corresponding to GDPR regulations."
69,"General Summary:
This article emphasizes the independence of the Board when carrying out its tasks and exercising its powers under Articles 70 and 71 of the GDPR. It specifies that the Board should act autonomously and not be influenced by external instructions.","- The Board must act independently in performing its tasks and exercising its powers.
- The Board should not seek or take instructions from any external entity while carrying out its duties."
70,"This article outlines the responsibilities and functions of the Board in ensuring the consistent application of the GDPR. The Board is tasked with monitoring and advising on various aspects related to data protection, issuing guidelines, recommendations, and best practices, promoting cooperation among supervisory authorities, and maintaining a register of decisions. The Board plays a crucial role in providing guidance and ensuring compliance with the GDPR.","1. Monitor and ensure the correct application of the GDPR in specific cases.
2. Advise the Commission on data protection issues and proposed amendments to the Regulation.
3. Issue guidelines, recommendations, and best practices on various data protection procedures.
4. Review and specify criteria for decisions based on profiling, personal data breaches, and high-risk situations.
5. Provide guidance on personal data transfers based on binding corporate rules and other necessary requirements.
6. Develop guidelines for supervisory authorities on measures, fines, and reporting infringements.
7. Encourage codes of conduct, data protection certification mechanisms, and seals.
8. Approve certification criteria and requirements for certification bodies.
9. Provide opinions on certification requirements, icons, and adequacy of data protection levels in third countries or international organizations.
10. Issue opinions on draft decisions of supervisory authorities and promote information exchange and training"
71,"General Summary:
This article outlines the requirement for the Board to prepare an annual report on the protection of individuals in the context of data processing within the EU and potentially in other countries. The report must be made public and shared with the European Parliament, the Council, and the Commission.","1. The Board must prepare an annual report on the protection of natural persons in data processing.
2. The report must cover the application of guidelines, recommendations, best practices, and binding decisions related to data protection.
3. The report must be made public and shared with specific entities, including the European Parliament, the Council, and the Commission."
72,"General Summary:
This article outlines the decision-making process of the Board under the GDPR. It specifies the majority required for decision-making and the adoption of rules of procedure by the Board.","- Decisions by the Board shall be taken by a simple majority of its members, unless stated otherwise in the Regulation.
- The Board must adopt its own rules of procedure by a two-thirds majority of its members.
- The Board is responsible for organizing its operational arrangements."
73,"General Summary:
This article outlines the process for electing a chair and two deputy chairs of the Board, specifying that they are chosen by a simple majority vote from among the Board members. It also states that the term of office for the Chair and deputy chairs is five years, with the possibility of renewal once.","1. The Board must elect a chair and two deputy chairs by a simple majority vote from its members.
2. The term of office for the Chair and deputy chairs is five years, and they can be renewed once."
74,"General Summary:
This article outlines the tasks of the Chair within the GDPR framework, which include convening Board meetings, preparing agendas, notifying decisions to supervisory authorities, and ensuring timely task performance, especially concerning the consistency mechanism.","- The Chair must convene Board meetings and prepare agendas.
- The Chair is responsible for notifying decisions to the lead supervisory authority and other relevant supervisory authorities.
- The Chair must ensure timely task performance, particularly related to the consistency mechanism.
- The Board must establish the allocation of tasks between the Chair and deputy chairs in its rules of procedure."
75,"General Summary:
This article outlines the establishment and responsibilities of the secretariat for the Board under the GDPR. The secretariat, provided by the European Data Protection Supervisor, is tasked with providing support to the Board in various administrative and logistical functions.","1. The Board must have a secretariat provided by the European Data Protection Supervisor.
2. The secretariat must operate under the instructions of the Chair of the Board.
3. Staff involved in tasks for the Board must have separate reporting lines from staff working on tasks for the European Data Protection Supervisor.
4. A Memorandum of Understanding must be established between the Board and the European Data Protection Supervisor, outlining cooperation terms.
5. The secretariat is responsible for various tasks including day-to-day business, communication, translation, and preparation of opinions and decisions."
76,"General Summary:
This article pertains to the confidentiality of discussions within the Board and the access to documents submitted to members, experts, and third-party representatives. It references Regulation (EC) No 1049/2001 regarding public access to European Parliament, Council, and Commission documents.",Compliance requirements based on this article include ensuring that discussions within the Board are kept confidential when deemed necessary and following the regulations outlined in Regulation (EC) No 1049/2001 for access to documents by relevant parties.
77,"General Summary:
This article outlines the right of every data subject to lodge a complaint with a supervisory authority if they believe that the processing of their personal data infringes the GDPR. The supervisory authority must keep the complainant informed about the progress and outcome of the complaint.","- Data subjects have the right to lodge a complaint with a supervisory authority if they believe their personal data is being processed in violation of the GDPR.
- The supervisory authority must inform the complainant about the progress and outcome of the complaint.
- The complainant should be informed about the possibility of seeking a judicial remedy according to Article 78."
78,"General Summary:
This article outlines the right of individuals, both natural and legal persons, to seek an effective judicial remedy against decisions made by a supervisory authority regarding them. It also specifies the process to be followed if a supervisory authority fails to handle a complaint within a specified timeframe.","- Individuals have the right to an effective judicial remedy against decisions made by a supervisory authority.
- If a supervisory authority does not handle a complaint or inform the data subject within three months, the data subject has the right to seek a judicial remedy.
- Proceedings against a supervisory authority must be brought before the courts of the Member State where the authority is established.
- If a decision of a supervisory authority follows an opinion or decision of the Board, the authority must forward that opinion or decision to the court."
79,"General Summary:
This article outlines the right of data subjects to seek judicial remedies if they believe their rights under the GDPR have been violated due to non-compliance with the regulation. It specifies the jurisdiction where legal proceedings can be initiated against data controllers or processors.","- Data subjects have the right to seek an effective judicial remedy if they believe their rights under the GDPR have been infringed.
- Legal proceedings against a controller or processor can be initiated in the Member State where the entity is established or where the data subject resides.
- Public authorities of a Member State acting in their public powers may also be subject to legal proceedings."
80,"General Summary:
This article outlines the rights of data subjects to appoint a not-for-profit body, organization, or association to lodge complaints on their behalf regarding the protection of their personal data. It also allows for such bodies to independently lodge complaints with the supervisory authority if they believe a data subject's rights have been violated.","- Data subjects have the right to appoint a not-for-profit body to lodge complaints on their behalf.
- Not-for-profit bodies must be properly constituted, have statutory objectives in the public interest, and be active in data protection.
- Such bodies can also independently lodge complaints with the supervisory authority if they believe data subject rights have been infringed."
81,"General Summary:
This article outlines the procedures to be followed by competent courts in different Member States when they have information about pending proceedings related to the same subject matter involving the same controller or processor. It emphasizes the need for communication and coordination between courts to avoid duplication and ensure efficient handling of cases.","- Competent courts in different Member States must contact each other if they have information about related proceedings involving the same controller or processor.
- Courts, other than the first seized court, may suspend their proceedings if similar cases are pending in another Member State.
- Courts may decline jurisdiction if the first seized court has jurisdiction and its law allows for consolidation of actions."
82,"General Summary:
This article outlines the right of individuals to receive compensation for any material or non-material damage caused by a violation of the GDPR. It specifies the liability of controllers and processors for such damages and the conditions under which they can be exempt from liability. The article also addresses situations where multiple controllers or processors are involved in the same processing and how liability for damages should be allocated among them.","- Controllers and processors are liable for damages caused by processing that violates the GDPR.
- Processors are liable if they fail to comply with obligations directed to processors or act contrary to the controller's lawful instructions.
- Controllers or processors can be exempt from liability if they prove they are not responsible for the damage.
- In cases where multiple controllers or processors are involved, each party is responsible for the entire damage to ensure effective compensation for the data subject.
- Controllers or processors who have paid compensation can claim back from other parties involved based on their responsibility for the damage.
- Court proceedings for compensation claims should be brought before the competent courts as per the Member State's law."
83,"This article outlines the requirements for imposing administrative fines for infringements of the GDPR. It emphasizes that fines should be effective, proportionate, and dissuasive. The article specifies factors to consider when determining fines, such as the nature of the infringement, actions taken to mitigate damage, and cooperation with supervisory authorities. It also sets out different levels of fines based on the severity of the infringement.","1. Factors to consider when imposing fines include the nature, gravity, and duration of the infringement, intentional or negligent character, actions taken to mitigate damage, responsibility of the controller or processor, previous infringements, cooperation with supervisory authorities, personal data affected, adherence to codes of conduct or certification mechanisms, and other relevant factors.
2. The total amount of the administrative fine for multiple infringements should not exceed the amount specified for the gravest infringement.
3. Infringements of specific provisions can result in fines up to certain amounts based on the severity of the violation.
4. Non-compliance with orders from supervisory authorities can lead to fines.
5. Member States can determine rules for imposing fines on public authorities.
6. The exercise of powers by supervisory authorities must adhere to procedural safeguards, including judicial remedy and due process."
84,"General Summary:
This article outlines that Member States must establish rules for penalties related to GDPR infringements that are not subject to administrative fines. These penalties should be effective, proportionate, and dissuasive. Member States are required to notify the European Commission of the laws they adopt for these penalties by a specified deadline.","1. Member States must establish rules for penalties applicable to GDPR infringements not subject to administrative fines.
2. Penalties must be effective, proportionate, and dissuasive.
3. Member States must notify the European Commission of the laws they adopt for these penalties by 25 May 2018 and any subsequent amendments without delay."
85,"General Summary:
This article outlines the requirement for Member States to balance the protection of personal data with the right to freedom of expression and information, particularly in the context of journalistic, academic, artistic, or literary activities.","1. Member States must establish laws that reconcile the protection of personal data with freedom of expression and information.
2. Exemptions or derogations from certain GDPR chapters are allowed for processing related to journalistic, academic, artistic, or literary purposes if necessary to balance these rights.
3. Member States must notify the European Commission of the laws adopted to reconcile these rights and any subsequent amendments to these laws."
86,"General Summary:
This article addresses the disclosure of personal data in official documents held by public authorities or bodies, as well as private bodies performing tasks in the public interest. It emphasizes the need to balance public access to official documents with the protection of personal data as outlined in the GDPR.","Compliance requirements based on this article include:
- Disclosure of personal data in official documents must be done in accordance with relevant Union or Member State laws.
- Public authorities and bodies must ensure that personal data disclosure aligns with the principles of the GDPR, particularly regarding the protection of personal data."
87,"General Summary:
This article allows Member States to establish specific conditions for processing national identification numbers or other general identifiers. It emphasizes the importance of using these identifiers only with appropriate safeguards to protect the rights and freedoms of data subjects.","- Member States must determine specific conditions for processing national identification numbers or other general identifiers.
- These identifiers should only be used with appropriate safeguards in place to protect the rights and freedoms of data subjects as outlined in the GDPR."
88,"General Summary:
This article discusses the ability of Member States to establish specific rules to protect employees' personal data in the context of employment. These rules cover various aspects of employment, such as recruitment, contract performance, management, equality, health and safety, and termination of employment. The rules must include measures to protect the data subject's dignity, interests, and rights, focusing on transparency, data transfers within groups of companies, and workplace monitoring.","1. Member States can establish specific rules to protect employees' personal data in the employment context.
2. Rules must cover various aspects of employment and include measures to safeguard data subjects' dignity, interests, and rights.
3. Emphasis should be placed on transparency of processing, data transfers within groups of companies, and workplace monitoring.
4. Member States must notify the Commission of these rules by 25 May 2018 and any subsequent amendments promptly."
89,"General Summary:
This article outlines the requirements for processing personal data for archiving purposes in the public interest, scientific or historical research, or statistical purposes. It emphasizes the need for appropriate safeguards to protect the rights and freedoms of data subjects, including implementing technical and organizational measures to ensure data minimization and potentially using pseudonymization. It also allows for derogations from certain data subject rights under specific conditions when necessary for achieving these purposes.","- Implement appropriate safeguards to protect the rights and freedoms of data subjects.
- Use technical and organizational measures to ensure data minimization.
- Consider pseudonymization as a potential measure for fulfilling processing purposes.
- Adhere to derogations from certain data subject rights under specific conditions when necessary for achieving the specified purposes.
- Comply with Union or Member State laws that may provide derogations from specific data subject rights under certain conditions and safeguards."
90,"General Summary:
This article allows Member States to establish specific rules regarding the powers of supervisory authorities in relation to controllers or processors who are bound by professional secrecy obligations. These rules aim to balance the protection of personal data with the obligation of secrecy.","1. Member States may adopt specific rules outlining the powers of supervisory authorities in relation to controllers or processors bound by professional secrecy obligations.
2. The rules should only apply to personal data received or obtained as a result of activities covered by the obligation of secrecy.
3. Member States must notify the European Commission of the rules adopted by May 25, 2018, and any subsequent amendments promptly."
91,"General Summary:
This article addresses the application of GDPR rules to churches and religious associations or communities that already have comprehensive data protection rules in place. It allows these organizations to continue using their existing rules as long as they are aligned with GDPR requirements.","1. Churches and religious associations must ensure that their existing data protection rules are in line with the GDPR.
2. These organizations will be supervised by an independent supervisory authority that meets the conditions specified in Chapter VI of the GDPR."
92,"General Summary:
This article outlines the delegation of power to the Commission under specific conditions, with provisions for revocation by the European Parliament or Council. It also specifies the process for adoption and entry into force of delegated acts.","- The Commission must notify the European Parliament and Council simultaneously upon adopting a delegated act.
- A delegated act will enter into force unless objections are raised by the European Parliament or Council within a three-month period, which can be extended by another three months."
93,"The article outlines the establishment of a committee to assist the Commission in GDPR matters, referencing specific regulations for guidance.","- Establish a committee to assist the Commission in GDPR implementation.
- Ensure compliance with Regulation (EU) No 182/2011, particularly Articles 5 and 8."
94,"General Summary:
This article states that Directive 95/46/EC has been repealed as of 25 May 2018. It clarifies that references to the repealed Directive should now be understood as references to the GDPR. Additionally, references to the Working Party on the Protection of Individuals with regard to the Processing of Personal Data established by Article 29 of Directive 95/46/EC should now be understood as references to the European Data Protection Board established by the GDPR.","1. Ensure that any references to Directive 95/46/EC are updated to refer to the GDPR.
2. Update any references to the Working Party on the Protection of Individuals to now refer to the European Data Protection Board as established by the GDPR."
95,"General Summary:
This article states that the GDPR does not add extra obligations for individuals or organizations involved in processing data for publicly available electronic communications services within the EU, if they are already subject to specific obligations outlined in Directive 2002/58/EC.",- Individuals or organizations providing publicly available electronic communications services must comply with the specific obligations set out in Directive 2002/58/EC.
96,"General Summary:
This article states that international agreements related to the transfer of personal data to third countries or international organizations, which were agreed upon by Member States before May 24, 2016, and were compliant with Union law at that time, will continue to be valid until they are updated, substituted, or canceled.","1. Ensure that any existing international agreements involving the transfer of personal data comply with Union law.
2. Regularly review and assess these agreements to determine if they need to be amended, replaced, or revoked in order to remain compliant with GDPR regulations."
97,"General Summary:
This article outlines the requirement for the European Commission to submit a report every four years evaluating and reviewing the GDPR to the European Parliament and Council. The reports will be made public and will focus on specific chapters related to the transfer of personal data to third countries, cooperation, and consistency. The Commission may request information from Member States and supervisory authorities for these evaluations. Additionally, the Commission will consider input from relevant bodies and may propose amendments to the Regulation based on technological developments and societal progress.","1. The European Commission must submit a report on the evaluation and review of the GDPR to the European Parliament and Council every four years.
2. The reports must focus on specific chapters related to the transfer of personal data to third countries and cooperation and consistency.
3. The Commission may request information from Member States and supervisory authorities for the evaluations.
4. The Commission must consider input from the European Parliament, Council, and other relevant bodies.
5. The Commission may propose amendments to the Regulation based on technological developments and societal progress."
98,"General Summary:
This article outlines the Commission's authority to propose legislative changes to other Union legal acts in order to ensure consistent protection of personal data, especially concerning processing by Union institutions and the free movement of data.","- The Commission must submit legislative proposals for amending other Union legal acts to ensure uniform protection of personal data.
- The focus should be on rules related to processing by Union institutions, bodies, offices, and agencies, as well as on the free movement of data."
99,"General Summary:
The article states that the GDPR Regulation will come into force twenty days after its publication in the Official Journal of the European Union and will be applicable from 25 May 2018.","1. Organizations must ensure compliance with the GDPR Regulation by 25 May 2018.
2. Organizations should be aware of the effective date of the Regulation to avoid any non-compliance issues."
